主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成24年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,921915,945056,-23141
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,494865,513353,-18488
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,35867,37680,-1813
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,2869,3354,-485
国会,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,36,36,0
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,1402,593,809
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,12675,5886,6789
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,31915,17985,13930
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1890,1964,-74
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,23504,24269,-765
国会,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,0,10,-10
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,68099,66113,1986
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,70639,70127,512
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,714653,710515,4138
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,6976,9085,-2109
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,59790,61880,-2090
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1756158,1915760,-159602
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,16,10,6
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,146951,148433,-1482
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,61107,53308,7799
