所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,平成27年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,28770,28781,-11
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,225623,231737,-6114
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,1792592,1792712,-120
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,69606,69926,-320
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1293936,1204796,89140
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1141,1347,-206
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,2092488,2174955,-82467
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,58783,58783,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),229970,262809,-32839
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10157885,10049111,108774
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8519374,8509431,9943
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4052515,3904078,148437
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1433765,1418466,15299
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12133348,11981596,151752
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,206797,205560,1237
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,40685,40726,-41
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,88857,81300,7557
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,20319,15578,4741
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1960629,1907054,53575
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,403229,404121,-892
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,73960,83650,-9690
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,7691,7691,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,315612,278084,37528
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5700000,5760000,-60000
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,29700,28800,900
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,145936,149370,-3434
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2526,2526,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,15285,17327,-2042
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,1024743,1025871,-1128
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,1630757,1630757,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3354864,3308335,46529
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,873472,892894,-19422
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,22606,22606,0
