主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和5年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1203595,1214305,-10710
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,714348,703585,10763
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,37304,38417,-1113
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,404,410,-6
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,220,125,95
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,36870,21910,14960
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,7384,7865,-481
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,3822,2209,1613
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,2,-1
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,6157,78764,-72607
裁判所,4,2,03,36,政府資産整理収入,回収金等収入,貸付金等回収金収入,修習資金貸与金償還金,2542466,2229189,313277
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,94436,95010,-574
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,161272,168907,-7635
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,434651,454812,-20161
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3507,3717,-210
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,50800,49180,1620
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1603771,1666993,-63222
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,30,80,-50
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,293549,319695,-26146
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,60482,64036,-3554
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,56353,53886,2467
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,41486,36179,5307
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,32490,17607,14883
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,6,6,0
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,5946,6304,-358
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,4134,2757,1377
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,61785932,61138846,647086
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17,17,0
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,47,28,19
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1111,1020,91
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,9,5,4
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,2467,930,1537
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1404,873,531
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2619,1399,1220
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,327,409,-82
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,28988,28278,710
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1413,1456,-43
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,2574,3680,-1106
内閣,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,296,240,56
内閣,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,2,19,-17
内閣,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,878657,445040,433617
内閣,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1884,1728,156
内閣,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,3070,2376,694
内閣,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,67,-66
内閣府,3,2,01,01,官業益金及官業収入,官業収入,病院収入,宮内庁病院収入,43651,20235,23416
内閣府,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,359777,831153,-471376
内閣府,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,49238,309,48929
内閣府,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,2919,0,2919
内閣府,4,1,01,50,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,83160,366327,-283167
内閣府,4,2,03,13,政府資産整理収入,回収金等収入,貸付金等回収金収入,災害援護資金貸付金償還金,3582333,2332773,1249560
内閣府,4,2,03,19,政府資産整理収入,回収金等収入,貸付金等回収金収入,母子父子寡婦福祉資金貸付金償還金,8654002,0,8654002
内閣府,4,2,54,01,政府資産整理収入,回収金等収入,東日本大震災復興放射性物質汚染対策緊急除染等事業費回収金収入,放射性物質汚染対策緊急除染等事業費回収金,29574084,29555472,18612
内閣府,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,255944,246252,9692
内閣府,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,310460,315648,-5188
内閣府,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,539977,573106,-33129
内閣府,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,2511,2590,-79
内閣府,5,1,02,03,雑収入,国有財産利用収入,国有財産使用収入,入場料等収入,349474,155038,194436
内閣府,5,1,02,05,雑収入,国有財産利用収入,国有財産使用収入,公益認定等総合情報システム利用料収入,31728,24214,7514
内閣府,5,2,03,04,雑収入,納付金,雑納付金,公認会計士法違反者納付金,14940,14840,100
