所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,令和5年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,28763,28996,-233
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,298824,298940,-116
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,2205636,2232331,-26695
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,情報処理業務庁費,29800,39600,-9800
皇室費,皇室費,002,95,011,2,20,3,09,宮廷費,施設施工庁費,26687,0,26687
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1349833,1338723,11110
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,88345,85765,2580
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1379,1615,-236
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,2050508,2654716,-604208
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,44088,44088,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),260165,260165,0
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10119274,9539748,579526
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8815670,8755853,59817
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4497571,4345423,152148
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1348210,1352307,-4097
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12356497,11819666,536831
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,263617,248425,15192
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,48863,49107,-244
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,147710,97199,50511
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,12323,12564,-241
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1252247,1546516,-294269
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,377846,380306,-2460
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,71425,72865,-1440
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,6327,6327,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,316429,316429,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員調査研究広報滞在費,5580000,5580000,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,29700,29700,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,147070,147070,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2437,2437,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,委員等旅費,2517,2517,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,9494,9494,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,1001790,1166781,-164991
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,2356672,2263295,93377
国会,衆議院,001,95,012,2,12,3,09,衆議院,主要国首脳会議開催業務庁費,47435,0,47435
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3696929,3947919,-250990
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,941887,911955,29932
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,23026,23026,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,370788,501160,-130372
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,73594,73594,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,76640,76640,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,359347,359347,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,3411851,3385877,25974
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1696,1916,-220
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3627000,3627000,0
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2153653,2137127,16526
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金等国家公務員共済組合負担金,588599,589050,-451
国会,衆議院,001,95,012,2,11,5,16,衆議院,育児休業手当金国家公務員共済組合負担金,345,730,-385
国会,衆議院,001,95,029,2,13,5,16,衆議院,国有資産所在市町村交付金,511717,482812,28905
国会,衆議院,001,95,012,2,72,5,16,衆議院,列国議会同盟分担金,134655,110684,23971
国会,衆議院,001,95,012,2,12,9,17,衆議院,交際費,59138,59138,0
国会,衆議院,001,95,012,2,95,9,18,衆議院,賠償償還及払戻金,2467,2467,0
国会,衆議院,002,95,012,1,20,2,08,衆議院施設費,施設施工旅費,694,694,0
国会,衆議院,002,95,012,1,20,3,09,衆議院施設費,施設施工庁費,97023,105509,-8486
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,施設整備費,1573388,1579702,-6314
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,不動産購入費,618988,607489,11499
国会,衆議院,009,95,012,2,95,9,99,衆議院予備経費,(国会予備経費),7000,7000,0
国会,参議院,011,95,012,2,11,1,01,参議院,議員歳費,5406080,5046746,359334
国会,参議院,011,95,012,2,11,1,02,参議院,職員基本給,6552838,6510406,42432
国会,参議院,011,95,012,2,11,1,03,参議院,職員諸手当,3333269,3238988,94281
国会,参議院,011,95,012,2,11,1,04,参議院,超過勤務手当,983608,987866,-4258
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書手当,6621802,6336957,284845
