主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和6年度予算額,前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1263552,1203595,59957
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,729693,714348,15345
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,38014,37304,710
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,332,404,-72
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,322,220,102
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,52831,36870,15961
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,12144,7384,4760
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,5129,3822,1307
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,2,1,1
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,7887,6157,1730
裁判所,4,2,03,36,政府資産整理収入,回収金等収入,貸付金等回収金収入,修習資金貸与金償還金,2610504,2542466,68038
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,95016,94436,580
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,165941,161272,4669
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,393487,434651,-41164
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3314,3507,-193
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,48980,50800,-1820
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1806623,1603771,202852
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,20,30,-10
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,229438,293549,-64111
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,62628,60482,2146
