所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,令和6年度要求額,前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,30113,28763,1350
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,298145,298824,-679
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,宮廷庁費,2205636,2205636,0
皇室費,皇室費,002,95,011,2,20,3,09,宮廷費,施設施工庁費,75307,26687,48620
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1436995,1349833,87162
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,96649,88345,8304
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1672,1379,293
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,情報処理業務庁費,0,29800,-29800
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,5365206,2050508,3314698
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,44088,44088,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),263724,260165,3559
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10206691,10187275,19416
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8846384,8786746,59638
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4604120,4571658,32462
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1374779,1365831,8948
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12522203,12085699,436504
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,291197,279574,11623
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,67767,41862,25905
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,148956,108114,40842
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,12871,12323,548
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1484014,1189950,294064
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,416888,330324,86564
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,79640,70115,9525
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,6327,6327,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,316429,316429,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員調査研究広報滞在費,5580000,5580000,0
